tree	n_sites	ufboot	group_size	gtdb_span	n_gtdb_branches_contradicted	min_gcf_conflicting	recurrence	also_in	organisms	gtdb_extra	accessions
flga	177	96.0	3	8	1	8.82	12	CONCAT,flgc,flgi,flgk,flgl,flia,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flim	303	96.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flgl,flia,flig,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
pflb	600	95.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flgl,flia,flig,flim,flip,fliy	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
chea	781	100.0	2	3	1	5.88	12	CONCAT,flag,flga,flgg,flgr,flhf,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flga	177	100.0	2	3	1	5.88	12	CONCAT,chea,flag,flgg,flgr,flhf,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flgg	262	100.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgr,flhf,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flid	590	100.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flgr,flhf,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flig	341	100.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flgr,flhf,flid,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
pflb	600	100.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flgr,flhf,flid,flig,flip,fliy	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
CONCAT	None	100.0	2	3	1	5.88	12	chea,flag,flga,flgg,flgr,flhf,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flgr	429	99.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flhf,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flhf	311	99.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flgr,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
fliy	194	99.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flgr,flhf,flid,flig,flip,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flag	63	97.0	2	3	1	5.88	12	CONCAT,chea,flga,flgg,flgr,flhf,flid,flig,flip,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flip	243	97.0	2	3	1	5.88	12	CONCAT,chea,flag,flga,flgg,flgr,flhf,flid,flig,fliy,pflb	Campylobacter iguaniorum; Campylobacter hyointestinalis	Campylobacter fetus	GCF_000736415.1,GCF_013372145.1
flgc	164	100.0	2	4	1	29.41	11	CONCAT,flgk,flha,flif,flih,flii,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
flgk	490	100.0	2	4	1	29.41	11	CONCAT,flgc,flha,flif,flih,flii,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
flih	150	100.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flif,flii,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
flim	303	100.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flif,flih,flii,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
fliq	86	100.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flif,flih,flii,flim,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
fliy	194	100.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flif,flih,flii,flim,fliq,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
CONCAT	None	100.0	2	4	1	29.41	11	flgc,flgk,flha,flif,flih,flii,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
flif	501	99.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flih,flii,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
flii	428	99.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flif,flih,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
pflb	600	98.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flha,flif,flih,flii,flim,fliq,fliy	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
flha	554	97.0	2	4	1	29.41	11	CONCAT,flgc,flgk,flif,flih,flii,flim,fliq,fliy,pflb	Campylobacter porcelli; Campylobacter lanienae	Campylobacter vicugnae; Campylobacter devanensis	GCF_002139855.1,GCF_002139935.1
chea	781	100.0	4	14	3	0.0	10	CONCAT,flgi,flhf,flif,flig,flii,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flig	341	100.0	4	14	3	0.0	10	CONCAT,chea,flgi,flhf,flif,flii,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
pflb	600	100.0	4	14	3	0.0	10	CONCAT,chea,flgi,flhf,flif,flig,flii,flip,flir	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
CONCAT	None	100.0	4	14	3	0.0	10	chea,flgi,flhf,flif,flig,flii,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flif	501	99.0	4	14	3	0.0	10	CONCAT,chea,flgi,flhf,flig,flii,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flir	194	99.0	4	14	3	0.0	10	CONCAT,chea,flgi,flhf,flif,flig,flii,flip,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flip	243	98.0	4	14	3	0.0	10	CONCAT,chea,flgi,flhf,flif,flig,flii,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flgi	260	97.0	4	14	3	0.0	10	CONCAT,chea,flhf,flif,flig,flii,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flii	428	97.0	4	14	3	0.0	10	CONCAT,chea,flgi,flhf,flif,flig,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	10 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
flhf	311	100.0	4	13	3	0.0	10	CONCAT,chea,flgi,flif,flig,flii,flip,flir,pflb	Sulfurimonas denitrificans; Sulfurimonas crateris; Sulfurimonas baltica; Sulfurimonas marisnigri	9 genomes	GCF_000012965.1,GCF_005217605.1,GCF_015265455.1,GCF_015265475.1
chea	781	100.0	4	5	1	21.21	10	CONCAT,flgg,flgk,flha,flhf,flif,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flif	501	100.0	4	5	1	21.21	10	CONCAT,chea,flgg,flgk,flha,flhf,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
CONCAT	None	100.0	4	5	1	21.21	10	chea,flgg,flgk,flha,flhf,flif,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flhf	311	99.0	4	5	1	21.21	10	CONCAT,chea,flgg,flgk,flha,flif,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flig	341	99.0	4	5	1	21.21	10	CONCAT,chea,flgg,flgk,flha,flhf,flif,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
pflb	600	99.0	4	5	1	21.21	10	CONCAT,chea,flgg,flgk,flha,flhf,flif,flig,flii	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flgg	262	98.0	4	5	1	21.21	10	CONCAT,chea,flgk,flha,flhf,flif,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flii	428	98.0	4	5	1	21.21	10	CONCAT,chea,flgg,flgk,flha,flhf,flif,flig,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flha	554	97.0	4	5	1	21.21	10	CONCAT,chea,flgg,flgk,flhf,flif,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flgk	490	96.0	4	5	1	21.21	10	CONCAT,chea,flgg,flha,flhf,flif,flig,flii,pflb	Helicobacter pametensis; Helicobacter brantae; Helicobacter cholecystus; Helicobacter kayseriensis	Helicobacter enhydrae	GCF_000518225.1,GCF_003364205.1,GCF_003364215.1,GCF_021300655.1
flgg	262	100.0	3	4	1	33.33	9	CONCAT,flgb,flgd,flgi,flgk,flid,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flgk	490	100.0	3	4	1	33.33	9	CONCAT,flgb,flgd,flgg,flgi,flid,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flid	590	100.0	3	4	1	33.33	9	CONCAT,flgb,flgd,flgg,flgi,flgk,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flip	243	100.0	3	4	1	33.33	9	CONCAT,flgb,flgd,flgg,flgi,flgk,flid,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flir	194	100.0	3	4	1	33.33	9	CONCAT,flgb,flgd,flgg,flgi,flgk,flid,flip	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
CONCAT	None	100.0	3	4	1	33.33	9	flgb,flgd,flgg,flgi,flgk,flid,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flgd	154	99.0	3	4	1	33.33	9	CONCAT,flgb,flgg,flgi,flgk,flid,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flgb	109	98.0	3	4	1	33.33	9	CONCAT,flgd,flgg,flgi,flgk,flid,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flgi	260	97.0	3	4	1	33.33	9	CONCAT,flgb,flgd,flgg,flgk,flid,flip,flir	Malaciobacter halophilus; Malaciobacter mytili; Malaciobacter marinus	Malaciobacter molluscorum	GCF_002837275.1,GCF_003346775.1,GCF_003544855.1
flga	177	100.0	3	4	1	9.09	8	CONCAT,flgk,flhf,flia,flid,flii,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flgk	490	100.0	3	4	1	9.09	8	CONCAT,flga,flhf,flia,flid,flii,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flha	554	100.0	3	4	1	18.18	8	CONCAT,flag,flga,flhb,flig,flip,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
flhf	311	100.0	3	4	1	9.09	8	CONCAT,flga,flgk,flia,flid,flii,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flig	341	100.0	3	4	1	18.18	8	CONCAT,flag,flga,flha,flhb,flip,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
flii	428	100.0	3	4	1	9.09	8	CONCAT,flga,flgk,flhf,flia,flid,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
fliq	86	100.0	3	4	1	18.18	8	CONCAT,flag,flga,flha,flhb,flig,flip	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
CONCAT	None	100.0	3	4	1	18.18	8	flag,flga,flha,flhb,flig,flip,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
CONCAT	None	100.0	3	4	1	9.09	8	flga,flgk,flhf,flia,flid,flii,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flag	63	99.0	3	4	1	18.18	8	CONCAT,flga,flha,flhb,flig,flip,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
flga	177	99.0	3	4	1	18.18	8	CONCAT,flag,flha,flhb,flig,flip,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
flhb	302	99.0	3	4	1	18.18	8	CONCAT,flag,flga,flha,flig,flip,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
flid	590	99.0	3	4	1	9.09	8	CONCAT,flga,flgk,flhf,flia,flii,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flip	243	99.0	3	4	1	18.18	8	CONCAT,flag,flga,flha,flhb,flig,fliq	Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis	Nitratiruptor tergarcus	GCF_014466985.1,GCF_015100395.1,GCF_027943725.1
flis	110	99.0	3	4	1	9.09	8	CONCAT,flga,flgk,flhf,flia,flid,flii	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flia	223	98.0	3	4	1	9.09	8	CONCAT,flga,flgk,flhf,flid,flii,flis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	Campylobacter mucosalis	GCF_002021925.1,GCF_030249845.1,GCF_905120465.1
flgg	262	100.0	9	12	1	16.67	7	CONCAT,flgj,flgk,flgl,flif,flig	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
flgj	74	100.0	9	12	1	16.67	7	CONCAT,flgg,flgk,flgl,flif,flig	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
flgk	490	100.0	9	12	1	16.67	7	CONCAT,flgg,flgj,flgl,flif,flig	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
flif	501	100.0	9	12	1	16.67	7	CONCAT,flgg,flgj,flgk,flgl,flig	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
flig	341	100.0	9	12	1	16.67	7	CONCAT,flgg,flgj,flgk,flgl,flif	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
CONCAT	None	100.0	9	12	1	16.67	7	flgg,flgj,flgk,flgl,flif,flig	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
flgl	299	97.0	9	12	1	16.67	7	CONCAT,flgg,flgj,flgk,flif,flig	Arcobacter lacus; Aliarcobacter vitoriensis; Aliarcobacter trophiarum; Aliarcobacter skirrowii; Aliarcobacter cryaerophilus; Aliarcobacter thereius; Arcobacter porcinus; Aliarcobacter lanthieri; Aliarcobacter butzleri	Aliarcobacter faecis; Aliarcobacter cibarius; Arcobacter vandammei	GCF_003063295.1,GCF_003316695.1,GCF_003355515.1,GCF_003544835.1,GCF_003660105.1,GCF_004214815.1,GCF_004299785.2,GCF_013201625.1,GCF_900187115.1
chev	312	100.0	2	4	1	38.71	7	flgr,flha,flhb,flih,fliq,flir	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
flha	554	100.0	2	4	1	38.71	7	chev,flgr,flhb,flih,fliq,flir	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
flhb	302	100.0	2	4	1	38.71	7	chev,flgr,flha,flih,fliq,flir	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
fliq	86	100.0	2	4	1	38.71	7	chev,flgr,flha,flhb,flih,flir	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
flir	194	99.0	2	4	1	38.71	7	chev,flgr,flha,flhb,flih,fliq	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
flih	150	98.0	2	4	1	38.71	7	chev,flgr,flha,flhb,fliq,flir	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
flgr	429	95.0	2	4	1	38.71	7	chev,flha,flhb,flih,fliq,flir	Helicobacter felis; Helicobacter salomonis	Helicobacter labacensis; Helicobacter vulpis	GCF_000200595.1,GCF_017979425.1
flgi	260	100.0	8	153	4	0.0	6	flgg,flgh,flif,flir,flis	Hippea maritima; Hippea alviniae; Hippea jasoniae; Desulfurella amilsii; Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis; Nitratiruptor tergarcus	145 genomes	GCF_000194135.1,GCF_000420385.1,GCF_000744435.1,GCF_002119425.1,GCF_014466985.1,GCF_015100395.1,GCF_027943725.1,GCF_027946175.1
flir	194	100.0	8	153	4	0.0	6	flgg,flgh,flgi,flif,flis	Hippea maritima; Hippea alviniae; Hippea jasoniae; Desulfurella amilsii; Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis; Nitratiruptor tergarcus	145 genomes	GCF_000194135.1,GCF_000420385.1,GCF_000744435.1,GCF_002119425.1,GCF_014466985.1,GCF_015100395.1,GCF_027943725.1,GCF_027946175.1
flif	501	99.0	8	153	4	0.0	6	flgg,flgh,flgi,flir,flis	Hippea maritima; Hippea alviniae; Hippea jasoniae; Desulfurella amilsii; Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis; Nitratiruptor tergarcus	145 genomes	GCF_000194135.1,GCF_000420385.1,GCF_000744435.1,GCF_002119425.1,GCF_014466985.1,GCF_015100395.1,GCF_027943725.1,GCF_027946175.1
flis	110	95.0	8	153	4	0.0	6	flgg,flgh,flgi,flif,flir	Hippea maritima; Hippea alviniae; Hippea jasoniae; Desulfurella amilsii; Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis; Nitratiruptor tergarcus	145 genomes	GCF_000194135.1,GCF_000420385.1,GCF_000744435.1,GCF_002119425.1,GCF_014466985.1,GCF_015100395.1,GCF_027943725.1,GCF_027946175.1
flgg	262	100.0	8	152	4	0.0	6	flgh,flgi,flif,flir,flis	Hippea maritima; Hippea alviniae; Hippea jasoniae; Desulfurella amilsii; Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis; Nitratiruptor tergarcus	144 genomes	GCF_000194135.1,GCF_000420385.1,GCF_000744435.1,GCF_002119425.1,GCF_014466985.1,GCF_015100395.1,GCF_027943725.1,GCF_027946175.1
flgh	173	100.0	8	151	4	0.0	6	flgg,flgi,flif,flir,flis	Hippea maritima; Hippea alviniae; Hippea jasoniae; Desulfurella amilsii; Nitrosophilus labii; Nitrosophilus alvini; Nitrosophilus kaiyonis; Nitratiruptor tergarcus	143 genomes	GCF_000194135.1,GCF_000420385.1,GCF_000744435.1,GCF_002119425.1,GCF_014466985.1,GCF_015100395.1,GCF_027943725.1,GCF_027946175.1
flgg	262	100.0	2	8	1	8.82	6	flgl,flhb,flid,flih,flim	Helicobacter valdiviensis; Helicobacter ibis	6 genomes	GCF_003245365.1,GCF_027859255.1
flgl	299	100.0	2	8	1	8.82	6	flgg,flhb,flid,flih,flim	Helicobacter valdiviensis; Helicobacter ibis	6 genomes	GCF_003245365.1,GCF_027859255.1
flhb	302	100.0	2	8	1	8.82	6	flgg,flgl,flid,flih,flim	Helicobacter valdiviensis; Helicobacter ibis	6 genomes	GCF_003245365.1,GCF_027859255.1
